"Name","ID","State","Notes","User","Group","Job Type","Tags","Created","Updated","End Time","Runtime","Sweep","Hostname","Description","Commit","GitHub","GPU Count","GPU Type","artifact_description","artifact_name","artifact_type","criterion","input","input_artifact","max_depth","max_features","max_price","max_tfidf_features","min_price","min_samples_leaf","min_samples_split","n_estimators","n_jobs","oob_score","output_artifact","output_description","output_type","random_seed","rf_config","sample","stratify_by","test_size","trainval_artifact","val_size","mae","r2"
"light-capybara-18","9yh00r21","finished","-","","development","train_random_forest","","2025-10-27T02:30:40.000Z","2025-10-27T02:31:01.000Z","2025-10-27T02:31:01.000Z","21","","7da7465c5fb0","","2443fa614de5da86b2a27e7652febb280cc7ace8","https://github.com/DCook-WGU/Project-Build-an-ML-Pipeline-Starter/tree/2443fa614de5da86b2a27e7652febb280cc7ace8","","","","","","squared_error","","","50","0.5","","5","","3","4","200","-1","true","random_forest_export","","","42","/tmp/tmp8rr8f54u/rf_config.json","","neighbourhood_group","","trainval_data.csv:latest","0.2","32.42710314040695","0.5781173766761045"
"dutiful-wave-17","djomgvdv","finished","-","","development","train_val_test_split","","2025-10-27T02:30:21.000Z","2025-10-27T02:30:28.000Z","2025-10-27T02:30:28.000Z","7","","7da7465c5fb0","","ac800ef3740d96c5557923ea16a2ccebb223192a","https://github.com/udacity/Project-Build-an-ML-Pipeline-Starter/tree/ac800ef3740d96c5557923ea16a2ccebb223192a","","","","","","","clean_sample.csv:latest","","","","","","","","","","","","","","","42","","","neighbourhood_group","0.2","","","",""
"fiery-forest-16","na66bbek","finished","-","","development","data_tests","","2025-10-27T02:30:04.000Z","2025-10-27T02:30:09.000Z","2025-10-27T02:30:09.000Z","5","","7da7465c5fb0","","2443fa614de5da86b2a27e7652febb280cc7ace8","https://github.com/DCook-WGU/Project-Build-an-ML-Pipeline-Starter/tree/2443fa614de5da86b2a27e7652febb280cc7ace8","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"wild-firefly-15","boo8pqk0","finished","-","","development","basic_cleaning","","2025-10-27T02:29:48.000Z","2025-10-27T02:29:53.000Z","2025-10-27T02:29:53.000Z","5","","7da7465c5fb0","","2443fa614de5da86b2a27e7652febb280cc7ace8","https://github.com/DCook-WGU/Project-Build-an-ML-Pipeline-Starter/tree/2443fa614de5da86b2a27e7652febb280cc7ace8","","","","","","","","sample.csv:latest","","","350","","10","","","","","","clean_sample.csv","Cleaned sample of the dataset","clean_sample","","","","","","","","",""
"misunderstood-resonance-14","hs1zxrhk","finished","-","","development","download_file","","2025-10-27T02:29:38.000Z","2025-10-27T02:29:39.000Z","2025-10-27T02:29:39.000Z","1","","7da7465c5fb0","","ac800ef3740d96c5557923ea16a2ccebb223192a","https://github.com/udacity/Project-Build-an-ML-Pipeline-Starter/tree/ac800ef3740d96c5557923ea16a2ccebb223192a","","","Raw file as downloaded","sample.csv","raw_data","","","","","","","","","","","","","","","","","","","sample2.csv","","","","","",""
"restful-pyramid-13","cjvud63m","finished","-","","development","data_tests","","2025-10-27T02:05:43.000Z","2025-10-27T02:05:47.000Z","2025-10-27T02:05:47.000Z","4","","7da7465c5fb0","","75cde46a7b9aeb2e30d8a91ab5775d34bb79f8f6","https://github.com/DCook-WGU/Project-Build-an-ML-Pipeline-Starter/tree/75cde46a7b9aeb2e30d8a91ab5775d34bb79f8f6","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"desert-thunder-12","tbqmvl1u","finished","-","","development","basic_cleaning","","2025-10-27T02:05:27.000Z","2025-10-27T02:05:32.000Z","2025-10-27T02:05:32.000Z","5","","7da7465c5fb0","","75cde46a7b9aeb2e30d8a91ab5775d34bb79f8f6","https://github.com/DCook-WGU/Project-Build-an-ML-Pipeline-Starter/tree/75cde46a7b9aeb2e30d8a91ab5775d34bb79f8f6","","","","","","","","sample.csv:latest","","","350","","10","","","","","","clean_sample.csv","Cleaned sample of the dataset","clean_sample","","","","","","","","",""
"drawn-wave-11","2ntbbple","finished","-","","development","download_file","","2025-10-27T02:05:14.000Z","2025-10-27T02:05:18.000Z","2025-10-27T02:05:18.000Z","4","","7da7465c5fb0","","ac800ef3740d96c5557923ea16a2ccebb223192a","https://github.com/udacity/Project-Build-an-ML-Pipeline-Starter/tree/ac800ef3740d96c5557923ea16a2ccebb223192a","","","Raw file as downloaded","sample.csv","raw_data","","","","","","","","","","","","","","","","","","","sample2.csv","","","","","",""
"young-monkey-10","4bnsg59s","finished","-","","development","test_model","","2025-10-27T01:32:56.000Z","2025-10-27T01:33:01.000Z","2025-10-27T01:33:01.000Z","5","","7da7465c5fb0","","ac800ef3740d96c5557923ea16a2ccebb223192a","https://github.com/udacity/Project-Build-an-ML-Pipeline-Starter/tree/ac800ef3740d96c5557923ea16a2ccebb223192a","","","","","","","","","","","","","","","","","","","","","","","","","","","","","33.846924076517","0.5619290498292977"
"fragrant-waterfall-9","8vgykmxm","finished","-","","train random forest","train_random_forest","","2025-10-27T01:17:05.000Z","2025-10-27T01:26:10.000Z","2025-10-27T01:17:20.000Z","15","","7da7465c5fb0","","c17ddb065d4a8b9f57947ef0e913219d3729c6ca","https://github.com/DCook-WGU/Project-Build-an-ML-Pipeline-Starter/tree/c17ddb065d4a8b9f57947ef0e913219d3729c6ca","","","","","","squared_error","","","50","0.5","","5","","3","4","200","-1","true","random_forest_export","","","42","/app/rf_config.json","","neighbourhood_group","","trainval_data.csv:latest","0.2","34.184256029779775","0.5506161616124368"
"zesty-pyramid-8","l1k1swgv","finished","-","","train random forest","train_random_forest","","2025-10-27T01:16:41.000Z","2025-10-27T01:26:10.000Z","2025-10-27T01:16:53.000Z","12","","7da7465c5fb0","","c17ddb065d4a8b9f57947ef0e913219d3729c6ca","https://github.com/DCook-WGU/Project-Build-an-ML-Pipeline-Starter/tree/c17ddb065d4a8b9f57947ef0e913219d3729c6ca","","","","","","squared_error","","","50","0.5","","5","","3","4","100","-1","true","random_forest_export","","","42","/app/rf_config.json","","neighbourhood_group","","trainval_data.csv:latest","0.2","34.196322144888455","0.550075980783665"
"devout-hill-7","nbwpblnd","finished","-","","train random forest","train_random_forest","","2025-10-27T01:16:17.000Z","2025-10-27T01:26:10.000Z","2025-10-27T01:16:29.000Z","12","","7da7465c5fb0","","c17ddb065d4a8b9f57947ef0e913219d3729c6ca","https://github.com/DCook-WGU/Project-Build-an-ML-Pipeline-Starter/tree/c17ddb065d4a8b9f57947ef0e913219d3729c6ca","","","","","","squared_error","","","10","0.5","","5","","3","4","200","-1","true","random_forest_export","","","42","/app/rf_config.json","","neighbourhood_group","","trainval_data.csv:latest","0.2","34.404576149502475","0.546276374972624"
"stoic-water-6","9zl6hbry","finished","-","","train random forest","train_random_forest","","2025-10-27T01:15:55.000Z","2025-10-27T01:26:10.000Z","2025-10-27T01:16:06.000Z","11","","7da7465c5fb0","","c17ddb065d4a8b9f57947ef0e913219d3729c6ca","https://github.com/DCook-WGU/Project-Build-an-ML-Pipeline-Starter/tree/c17ddb065d4a8b9f57947ef0e913219d3729c6ca","","","","","","squared_error","","","10","0.5","","5","","3","4","100","-1","true","random_forest_export","","","42","/app/rf_config.json","","neighbourhood_group","","trainval_data.csv:latest","0.2","34.431949196557326","0.5456126597490437"
"still-terrain-5","u4xjkly9","finished","-","","development","train_val_test_split","","2025-10-27T01:12:30.000Z","2025-10-27T01:12:37.000Z","2025-10-27T01:12:37.000Z","7","","7da7465c5fb0","","ac800ef3740d96c5557923ea16a2ccebb223192a","https://github.com/udacity/Project-Build-an-ML-Pipeline-Starter/tree/ac800ef3740d96c5557923ea16a2ccebb223192a","","","","","","","clean_sample.csv:latest","","","","","","","","","","","","","","","42","","","neighbourhood_group","0.2","","","",""
"young-resonance-4","4hvmlxpa","finished","-","","development","data_tests","","2025-10-27T01:02:38.000Z","2025-10-27T01:02:43.000Z","2025-10-27T01:02:43.000Z","5","","7da7465c5fb0","","c17ddb065d4a8b9f57947ef0e913219d3729c6ca","https://github.com/DCook-WGU/Project-Build-an-ML-Pipeline-Starter/tree/c17ddb065d4a8b9f57947ef0e913219d3729c6ca","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"classic-darkness-3","ikk1qjxj","finished","-","","development","basic_cleaning","","2025-10-27T01:01:26.000Z","2025-10-27T01:01:31.000Z","2025-10-27T01:01:31.000Z","5","","7da7465c5fb0","","c17ddb065d4a8b9f57947ef0e913219d3729c6ca","https://github.com/DCook-WGU/Project-Build-an-ML-Pipeline-Starter/tree/c17ddb065d4a8b9f57947ef0e913219d3729c6ca","","","","","","","","sample.csv:latest","","","350","","10","","","","","","clean_sample.csv","Cleaned sample of the dataset","clean_sample","","","","","","","","",""
"lunar-grass-2","oo2qu7xv","finished","-","","eda","","","2025-10-27T00:59:17.000Z","2025-10-27T00:59:38.000Z","2025-10-27T00:59:38.000Z","21","","7da7465c5fb0","","c17ddb065d4a8b9f57947ef0e913219d3729c6ca","https://github.com/DCook-WGU/Project-Build-an-ML-Pipeline-Starter/tree/c17ddb065d4a8b9f57947ef0e913219d3729c6ca","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"stellar-blaze-1","tkc2qc7z","finished","-","","development","download_file","","2025-10-27T00:58:33.000Z","2025-10-27T00:58:36.000Z","2025-10-27T00:58:36.000Z","3","","7da7465c5fb0","","ac800ef3740d96c5557923ea16a2ccebb223192a","https://github.com/udacity/Project-Build-an-ML-Pipeline-Starter/tree/ac800ef3740d96c5557923ea16a2ccebb223192a","","","Raw file as downloaded","sample.csv","raw_data","","","","","","","","","","","","","","","","","","","sample1.csv","","","","","",""
